9033 9688 9695 9682 9691 9695 9687 9688 9691 9692 9685 9692 9690 9681 9688 8827 9604 9604 9595 9608 9613 9621 9614 9614 9621 9604 9613 9620 9619 8813 9650 9641 9655 9646 9624 9638 9646 9648 9650 9652 9651 9655 9658 8864 9660 9657 9666 9664 9660 9661 9674 9667 9668 9664 9668 3381 5491 8847 9622 9621 9633 9619 9627 9630 9621 9616 9632 9634 9629 9635 9636 8830 9641 9626 9642 9631 9640 9639 9643 9645 9643 9650 9627 9644 9656 8840 9630 9628 9633 9642 9647 9636 9651 9623 9638 9645 9640 9642 9645 8831 9651 9649 9642 9651 9646 9644 9647 9637 9635 9646 9640 9641 9642 8839 9635 9634 9634 9633 9648 9636 9639 9624 9643 9630 9631 9618 9633 8849
9162 4405 4595 9773 9797 9785 9802 9796 9795 9792 8956 9793 9383 8044 9377 8550 9481 9770 9770 9380 9488 9779 9778 9770 9777 9774 9781 9766 9766 8542 9465 9753 9759 9347 9465 9754 9750 9744 9759 9757 9758 9334 9468 8779 9452 9731 9734 9727 9736 9733 9730 9324 9452 9731 9729 9734 9725 8814 9479 9769 9770 9771 9758 9760 9773 9761 9765 9771 9776 9352 9485 8810 9493 9784 9772 9778 9776 9784 9776 9351 9483 9763 9774 9356 9490 9224 9766 9770 9773 9351 9491 9764 9774 9357 9480 9768 9747 9749 9757 8521 9471 9757 9749 9754 9774 9763 9739 9325 9482 9746 9757 9332 9480 8952 9749 9746 9761 9332 9482 9746 9741 9331 9489 9767 9749 9745 9757 8527
9020 9702 9692 9683 9727 9393 9730 9735 9728 9721 9720 9733 9727 9390 8854 9650 9670 9652 9663 9665 9652 9650 9655 9657 9660 9649 9648 9631 8913 9672 9663 9325 9661 9646 9673 9665 9662 9685 9671 9660 9678 9675 8845 9626 9642 9607 9641 9644 9643 9619 9637 9615 9613 9646 3449 5402 8838 9650 9506 9470 9617 9640 9608 9603 9626 9626 9641 9616 9628 9631 9650 9619 9639 9632 9642 9634 9598 9640 9626 9623 9628 9606 9620 9631 9570 9551 9547 9551 9552 9544 9555 9554 9554 9561 9544 9542 9558 9560 9583 9555 9558 9560 9542 9543 9532 9539 9531 9534 9550 9548 9551 9555 9562 9540 9538 9532 9536 9522 9530 9519 9525 9527 9530 9522 9529 9524 9644 7649
9687 4429 5221 9599 9597 9594 9603 9611 9613 9603 9582 9608 9601 9615 9567 9485 9548 9538 9534 9548 9546 9553 9553 9509 9516 9516 9517 9535 9590 9559 9562 9532 9518 9507 8929 9451 9535 9528 9542 9547 9536 9546 9566 9540 9546 9539 9548 9502 9532 9536 9547 9531 9540 9529 9520 9534 9581 9542 9556 9542 9566 9570 8902 9457 9559 9540 9552 9560 9558 9568 9557 9547 8939 9466 9546 9547 8929 9461 9543 9550 8933 9474 9558 9550 9574 9554 9548 9553 9542 9548 9549 9559 9553 9548 8945 9475 9555 9557 9591 9550 9561 9554 9562 9547 9543 9546 9545 9551 8950 9477 9554 9557 9581 9557 9553 9563 9558 9556 8944 9475 9468 7509 9500 9489 9501 9510 9520 9479
9662 4454 5218 9617 9614 9605 9621 9610 9616 9623 9620 9616 9619 9617 9608 9572 9581 9580 9570 9591 9589 9586 9580 9567 9578 9574 9585 9576 9626 9575 9589 9576 9592 9585 9587 9589 9585 9581 9585 9582 9589 9583 9644 9599 9590 9588 9608 9595 9595 9587 9595 9589 9598 9601 9591 9597 9597 9578 9576 9579 9585 9572 9544 9556 9546 9573 9562 9566 9581 9581 9623 9597 9569 9601 9598 9561 9597 9595 9589 9589 9553 9580 9588 9586 9613 9591 9575 9582 9575 9597 9610 9604 9608 9590 9605 9602 9601 9598 9658 9623 9559 9577 9619 9605 9614 9616 9618 9605 9618 9615 9616 9621 9642 9622 9613 9609 9624 9616 9606 9618 9612 9617 9618 9611 9608 9619 9635 4474
9312.800 6535.600 6884.200 9670.800 9685.200 9614.400 9688.600 9688.000 9688.600 9686.200 9512.600 9688.400 9604.000 9269.400 9418.800 9216.800 9576.800 9628.800 9626.400 9558.400 9577.600 9637.800 9636.000 9623.400 9630.400 9623.400 9628.800 9625.600 9502.800 9232.200 9585.800 9565.400 9637.000 9546.200 9455.600 9619.400 9635.600 9637.200 9641.400 9639.600 9642.400 9558.600 9436.200 9281.600 9578.000 9624.400 9639.400 9626.400 9633.200 9627.200 9636.600 9545.200 9574.200 9634.200 8391.400 7529.600 8646.400 9286.200 9547.800 9596.200 9634.200 9634.400 9487.800 9601.200 9625.000 9623.200 9630.400 9629.400 9634.400 9553.400 9590.200 9280.600 9456.200 9621.800 9640.000 9630.200 9508.000 9623.800 9635.400 9551.600 9448.000 9614.600 9633.400 9553.400 9580.600 9352.000 9613.200 9616.800 9615.000 9536.400 9570.400 9623.400 9628.000 9535.800 9442.400 9606.400 9620.200 9621.200 9646.800 9216.000 9560.000 9619.400 9622.800 9620.000 9621.800 9621.600 9616.000 9530.400 9447.000 9606.400 9623.600 9541.200 9581.400 9302.000 9617.600 9616.800 9622.600 9531.800 9442.000 9598.800 9597.000 9121.600 9556.000 9603.800 9603.600 9603.200 9637.800 7795.600
299.575 2579.690 2305.091 61.268 73.660 130.479 72.764 71.953 69.087 68.344 282.450 70.213 119.666 620.617 300.325 443.244 62.371 79.645 83.265 96.769 56.472 77.772 78.783 88.292 87.509 86.818 87.408 78.027 301.139 462.566 71.064 141.371 79.962 111.931 272.133 99.825 72.902 76.014 74.621 72.450 75.996 121.689 303.234 377.656 74.651 65.341 61.643 75.240 67.945 66.838 63.057 118.959 73.448 67.182 2472.205 2641.541 1608.338 373.845 50.693 99.634 71.848 73.443 301.049 98.881 80.645 75.486 76.233 76.272 75.907 104.132 61.512 376.855 264.250 101.130 74.876 81.940 296.820 103.432 78.237 105.322 263.780 94.144 74.478 104.184 54.953 288.463 82.125 81.495 85.072 99.387 53.731 76.508 81.665 93.054 254.496 99.033 70.652 70.952 62.381 452.410 56.935 76.698 72.849 77.974 87.275 81.321 75.313 109.138 254.334 90.868 75.149 110.030 60.005 334.944 74.966 73.668 78.688 107.641 255.609 94.989 94.393 813.204 62.792 97.204 87.182 84.303 75.040 1762.552
9806 9714 9614 9022 9030 9030 9024 9041 9008 9000 9007 9021 9030 9006 9003 9671 9641 9624 9633 9622 9634 9622 9629 9634 9634 9627 8916 8924 8963 9681 9646 9650 9648 9649 9647 9627 9644 9654 9617 9645 9649 9636 9630 9672 9646 9651 9654 9642 9651 9649 9639 9649 9639 9636 9638 9627 1383 9632 9624 9611 9631 9629 9636 9623 9636 9634 9630 9631 9636 9622 9635 9639 9633 9618 9607 9622 9601 9614 9630 9612 9618 9617 9620 9625 9626 9054 9631 9622 9619 9614 9617 9621 9613 9602 9621 9615 9621 9615 9603 9602 9567 9177 9591 9600 9526 9177 9603 9600 9597 9604 9606 9596 9516 9165 9626 9609 9620 9615 9615 9600 9597 9596 9529 9174 9609 9611 9609 9608 9618 9578
9625 4491 5103 9525 9520 9519 9520 9530 9527 9528 9528 9521 9530 9523 9504 9480 9476 9472 9488 9481 9477 9485 9487 9496 9488 9479 9477 9485 9523 9489 9484 9488 9479 9495 9488 9488 9498 9493 9485 9494 9482 9492 9366 8990 9508 9500 9506 9505 9508 9502 9324 9004 9510 9514 9330 8990 9531 9493 9504 9507 9500 9487 9511 9503 9334 9372 9500 9507 9509 9510 9533 9485 9501 9506 9490 9498 9493 9488 9299 8998 9500 9485 9488 9500 9510 9495 9482 9494 9498 9497 9502 9504 9319 8995 9496 9497 9505 9501 9355 9387 9503 9503 9511 9511 9511 9517 9511 9511 9517 9516 9510 9518 9519 9492 9499 9488 9496 9493 9492 9488 9495 9487 9494 9497 9297 8999 9514 9494 9491 2966
9715.500 7102.500 7358.500 9273.500 9275.000 9274.500 9272.000 9285.500 9267.500 9264.000 9267.500 9271.000 9280.000 9264.500 9253.500 9575.500 9558.500 9548.000 9560.500 9551.500 9555.500 9553.500 9558.000 9565.000 9561.000 9553.000 9196.500 9204.500 9243.000 9585.000 9565.000 9569.000 9563.500 9572.000 9567.500 9557.500 9571.000 9573.500 9551.000 9569.500 9565.500 9564.000 9498.000 9331.000 9577.000 9575.500 9580.000 9573.500 9579.500 9575.500 9481.500 9326.500 9574.500 9575.000 9484.000 9308.500 5457.000 9562.500 9564.000 9559.000 9565.500 9558.000 9573.500 9563.000 9485.000 9503.000 9565.000 9569.000 9572.500 9566.000 9584.000 9562.000 9567.000 9562.000 9548.500 9560.000 9547.000 9551.000 9464.500 9305.000 9559.000 9551.000 9554.000 9562.500 9568.000 9274.500 9556.500 9558.000 9558.500 9555.500 9559.500 9562.500 9466.000 9298.500 9558.500 9556.000 9563.000 9558.000 9479.000 9494.500 9535.000 9340.000 9551.000 9555.500 9518.500 9347.000 9557.000 9555.500 9557.000 9560.000 9558.000 9557.000 9517.500 9328.500 9562.500 9548.500 9558.000 9554.000 9553.500 9544.000 9546.000 9541.500 9511.500 9335.500 9453.000 9305.000 9561.500 9551.000 9554.500 6272.000
